datetime,open,high,low,close
2024-01-01 00:00:00,139.9897,140.0784,139.8697,139.9539
2024-01-02 00:00:00,139.7716,139.9421,139.6504,139.7865
2024-01-03 00:00:00,139.9906,140.1103,139.8639,139.9732
2024-01-04 00:00:00,139.7332,139.8585,139.5484,139.6733
2024-01-05 00:00:00,139.2467,139.4243,139.1701,139.3688
2024-01-06 00:00:00,139.4206,139.5498,139.3527,139.4238
2024-01-07 00:00:00,139.507,139.5739,139.2935,139.4794
2024-01-08 00:00:00,139.6634,139.7324,139.5166,139.5796
2024-01-09 00:00:00,139.5102,139.6492,139.3978,139.5176
2024-01-10 00:00:00,139.3701,139.5111,139.2091,139.4371
2024-01-11 00:00:00,139.3088,139.4301,139.2662,139.2917
2024-01-12 00:00:00,139.3918,139.3925,139.2165,139.3004
2024-01-13 00:00:00,139.2241,139.4062,139.1272,139.2813
2024-01-14 00:00:00,139.0756,139.2091,138.8704,139.0177
2024-01-15 00:00:00,139.3024,139.4084,139.242,139.277
2024-01-16 00:00:00,139.345,139.4652,139.3082,139.3878
2024-01-17 00:00:00,139.1764,139.378,139.1748,139.2136
2024-01-18 00:00:00,138.968,139.1402,138.8223,138.9512
2024-01-19 00:00:00,138.4329,138.7271,138.3697,138.6092
2024-01-20 00:00:00,138.4761,138.6312,138.2998,138.4077
2024-01-21 00:00:00,138.4823,138.662,138.3209,138.4519
2024-01-22 00:00:00,138.5836,138.6052,138.3812,138.5453
2024-01-23 00:00:00,138.7543,138.7556,138.6489,138.7172
2024-01-24 00:00:00,138.742,138.9596,138.591,138.8688
2024-01-25 00:00:00,138.7455,138.8731,138.5403,138.6328
2024-01-26 00:00:00,138.7367,138.8427,138.5339,138.6912
2024-01-27 00:00:00,138.5432,138.7243,138.4419,138.5722
2024-01-28 00:00:00,138.48,138.6533,138.3359,138.4137
2024-01-29 00:00:00,138.1559,138.2578,138.0708,138.1653
2024-01-30 00:00:00,138.3462,138.5811,138.3096,138.4181
2024-01-31 00:00:00,138.3207,138.4771,138.1335,138.2765
2024-02-01 00:00:00,138.3486,138.4562,138.2098,138.3386
2024-02-02 00:00:00,138.3263,138.4549,138.2069,138.3069
2024-02-03 00:00:00,138.484,138.6845,138.3282,138.4444
2024-02-04 00:00:00,138.3414,138.4668,138.1952,138.3675
2024-02-05 00:00:00,138.3339,138.5258,138.2787,138.3069
2024-02-06 00:00:00,138.1217,138.2416,137.9927,138.1046
2024-02-07 00:00:00,138.0729,138.187,137.9531,138.027
2024-02-08 00:00:00,138.4893,138.5616,138.3694,138.4644
2024-02-09 00:00:00,138.4194,138.4602,138.3437,138.4238
2024-02-10 00:00:00,138.5235,138.702,138.3758,138.6053
2024-02-11 00:00:00,138.8638,138.8787,138.6771,138.7594
2024-02-12 00:00:00,138.7416,138.8962,138.6639,138.698
2024-02-13 00:00:00,138.7927,139.0282,138.7673,138.894
2024-02-14 00:00:00,139.0093,139.1018,138.8161,138.9257
2024-02-15 00:00:00,139.079,139.1746,138.8924,139.0691
2024-02-16 00:00:00,139.2373,139.4952,139.1946,139.2579
2024-02-17 00:00:00,139.4039,139.5291,139.2686,139.4225
2024-02-18 00:00:00,139.5072,139.5308,139.438,139.4625
2024-02-19 00:00:00,139.5058,139.6219,139.4793,139.5732
2024-02-20 00:00:00,139.8534,140.0271,139.748,139.8011
2024-02-21 00:00:00,139.7215,139.9396,139.542,139.8013
2024-02-22 00:00:00,139.7503,139.8997,139.55,139.6411
2024-02-23 00:00:00,139.3846,139.4798,139.2162,139.2861
2024-02-24 00:00:00,139.3867,139.5616,139.309,139.358
2024-02-25 00:00:00,139.6667,139.8393,139.4716,139.5626
2024-02-26 00:00:00,139.4999,139.6057,139.3224,139.4286
2024-02-27 00:00:00,139.6666,139.6998,139.586,139.685
2024-02-28 00:00:00,139.4086,139.5245,139.2819,139.3513
2024-02-29 00:00:00,139.4079,139.5118,139.1833,139.3496
2024-03-01 00:00:00,139.4113,139.5859,139.158,139.3385
2024-03-02 00:00:00,139.2792,139.2854,139.1718,139.2176
2024-03-03 00:00:00,138.9391,138.9775,138.7649,138.8643
2024-03-04 00:00:00,138.8277,138.9001,138.716,138.8297
2024-03-05 00:00:00,139.1552,139.2817,139.0021,139.1521
2024-03-06 00:00:00,139.0283,139.1887,138.8746,139.1165
2024-03-07 00:00:00,138.7784,138.9706,138.6388,138.8202
2024-03-08 00:00:00,138.878,138.9863,138.7805,138.8216
2024-03-09 00:00:00,138.4954,138.6862,138.4237,138.5401
2024-03-10 00:00:00,138.3236,138.401,138.2295,138.3776
2024-03-11 00:00:00,138.1908,138.2088,138.0489,138.1653
2024-03-12 00:00:00,137.9138,138.186,137.8276,138.0498
2024-03-13 00:00:00,137.5871,137.763,137.51,137.6484
2024-03-14 00:00:00,137.8411,137.9744,137.6725,137.7888
2024-03-15 00:00:00,138.0751,138.1977,138.0247,138.0289
2024-03-16 00:00:00,138.2819,138.3671,138.1137,138.1902
2024-03-17 00:00:00,138.4164,138.6629,138.1952,138.5395
2024-03-18 00:00:00,138.4208,138.6151,138.2785,138.3725
2024-03-19 00:00:00,138.5367,138.5914,138.378,138.4735
2024-03-20 00:00:00,138.584,138.6823,138.436,138.5262
2024-03-21 00:00:00,138.3183,138.488,138.2132,138.3434
2024-03-22 00:00:00,138.1309,138.4231,137.9739,138.1898
2024-03-23 00:00:00,138.123,138.4356,137.999,138.3045
2024-03-24 00:00:00,138.6376,138.7342,138.4816,138.6077
2024-03-25 00:00:00,138.33,138.4462,138.1928,138.2577
2024-03-26 00:00:00,138.623,138.6529,138.4296,138.4963
2024-03-27 00:00:00,138.5616,138.6417,138.4975,138.5488
2024-03-28 00:00:00,139.003,139.0433,138.8977,138.9304
2024-03-29 00:00:00,139.3062,139.4972,139.0965,139.237
2024-03-30 00:00:00,139.0982,139.1062,139.0174,139.08
2024-03-31 00:00:00,139.106,139.1696,138.9756,139.0694
2024-04-01 00:00:00,139.1784,139.3103,139.0416,139.152
2024-04-02 00:00:00,139.1489,139.2514,139.035,139.0937
2024-04-03 00:00:00,138.981,139.0755,138.8732,138.981
2024-04-04 00:00:00,138.9932,139.0865,138.9438,138.9809
2024-04-05 00:00:00,139.1305,139.2522,138.9662,139.0567
2024-04-06 00:00:00,139.0695,139.1423,138.9665,139.1371
2024-04-07 00:00:00,139.0214,139.0672,138.9382,138.9696
2024-04-08 00:00:00,138.893,138.9739,138.751,138.7825
2024-04-09 00:00:00,138.6816,138.8064,138.5363,138.6451
2024-04-10 00:00:00,138.9617,139.0607,138.7824,138.9122
2024-04-11 00:00:00,139.278,139.4292,139.1641,139.21
2024-04-12 00:00:00,139.2344,139.3196,139.0299,139.1833
2024-04-13 00:00:00,139.3542,139.4436,139.0633,139.2906
2024-04-14 00:00:00,139.4987,139.6183,139.2689,139.5138
2024-04-15 00:00:00,139.5133,139.6623,139.3518,139.4521
2024-04-16 00:00:00,139.2551,139.3731,139.0855,139.242
2024-04-17 00:00:00,139.3846,139.5273,139.2559,139.3829
2024-04-18 00:00:00,139.4239,139.5117,139.2857,139.42
2024-04-19 00:00:00,139.1862,139.3304,139.1594,139.2302
2024-04-20 00:00:00,139.0112,139.2177,138.8828,139.1518
2024-04-21 00:00:00,139.2499,139.3421,139.2207,139.2537
2024-04-22 00:00:00,139.6188,139.7735,139.5268,139.5827
2024-04-23 00:00:00,139.422,139.6884,139.2752,139.5494
2024-04-24 00:00:00,139.2042,139.3393,139.1923,139.2078
2024-04-25 00:00:00,138.8047,138.9478,138.7748,138.8793
2024-04-26 00:00:00,138.9025,139.0342,138.7499,138.885
2024-04-27 00:00:00,139.2369,139.2713,139.0807,139.1554
